ProcessID,LO,L1,L2,AsIs Process,R,A,C,I,AsIsCoreSystem,Tobe Process,R,A,C,I,ToBeCoreSystem,Processrating,Rolerating,Newrolerating,Workload +-,Workloadrating,Impact Rating,Changestatement,Business Benefits,Status,Actions,Comments
36,2. BUY,2.3 Purchase Order Management,2.3.1 Create & Maintain Purchase Order,Raising a Purchase Order carried out in ISCM,BAA,AM,Merch,Supplier,ISCM,"ISCM will remain the master system for Purchase Order Creation
B&M teams will continue to raise import and landed Purchase Orders and still raise 'PO Completion' validation checks are included as part of the 'Raise PO for new item' and 'Raise PO for exist",BAA,AM,Merch,Supplier,ISCM,0,0,0,,0,0,"Raising a line - No change
Create the drop & create retention POTS remains the same
No change with Tags
Need to use the same retention pots as there is currently for raising a purchase order (i.e.. Retail, Franchise, Wholesale, Digital, POTS)? De-scoping ",,,                                                         Review retention Pots for digital- how does this work for WMS,Concessions should be the same process as any other UK Goods Intake process
41,3. MOVE,3.1 Allocation & Replenishment,3.1.1 Trading Actions,Allocation Cancellation - Head office have Ability to cancel stock up to point of pick,MAA,AM,Merch,DC,,"Allocation Cancellation - With the introduction of the GRID, stores that are not necessary despatched today may be picked.  This reduces the opportunity for stock trading.",MAA,AM,Merch,DC,,,,,,,,"Allocation Cancellation - With the introduction of the GRID, stores that are not necessary despatched today may be picked.  This reduces the opportunity for stock trading",,,"Workshop required to work out a solution for Pre & Post OOT.
Grid to be reviewed during Waving Workshop.",
41,3. MOVE,3.1 Allocation & Replenishment,3.1.1 Trading Actions,Release Allocations - Head office have Ability to control product that is manually recycled,MAA,AM,Merch,DC,,Release Allocations - The DC will not be waving by Pick Area and therefore will be unable to prioritise low impact areas when manually recycling,MAA,AM,Merch,DC,,,,,,,,Release Allocations - The DC will not be waving by Pick Area and therefore will be unable to prioritise low impact areas when manually recycling.,,,Release allocations - To be reviewed during waving workshop,
41,3. MOVE,3.1 Allocation & Replenishment,3.1.1 Trading Actions,"Freeze - Currently you cannot freeze in ISCM when there is an issue with the product (known issue).
Head office have Ability for Logistics Tariff Codes to prevent Allocation  (Phil need to raise with Kamal)
Head office have Ability to apply allocation fre",MAA,AM,Merch,DC,,"Freeze - Hardfreeze have to delink the line in Manhattan
Freeze required for 1b, however, there is currently no integration between ISCM and WMS",MAA,AM,Merch,DC,,,,,,,,Freeze flags are not going to be passed to WMS through RMS. Business required to have this included on 1b,,,"New question sent to Kamal (18/03) around head office having the Ability for Logistics Tariff Codes to prevent Allocation
Freeze required for 1b, however, there is currently no integration between ISCM and WMS - GAP under investigation",
41,3. MOVE,3.1 Allocation & Replenishment,3.1.1 Trading Actions,Reviewing Pick Matrix and Pick Volume - Carried out in ISCM.,MAA,AM,Merch,DC,ISCM,Continued to be carried out in ISCM,MAA,AM,Merch,DC,ISCM,2,1,0,+,1,4,Pick Matrix will not be able to be used in the same way as it is used today - limits frequency to cancel back.  The larger stores should be OK. Stock still sitting on the grid and can't be used (i.e. for Digital).,,,"To define which brands will flow through the Grid. To be very selective about which stores use the grid. Need to define Business rules around the Grid.
Pick Wave meeting required to drive out business requirements",
41,3. MOVE,3.1 Allocation & Replenishment,3.1.1 Trading Actions,Pick Interface - Smart Picking No change,MAA,AM,Merch,DC,,Pick Interface - Smart Picking No change,MAA,AM,Merch,DC,,0,0,0,,0,0,Pick Interface - Smart Picking No change,,,,
41,3. MOVE,3.1 Allocation & Replenishment,3.1.1 Trading Actions,Pick Recycling - Currently just set in ISCM,MAA,AM,Merch,DC,ISCM,Will need to be setup in ISCM and WMS,MAA,AM,Merch,DC,ISCM/ Manhattan,2,1,0,+,1,4,"WMS currently aligns with RMS prioritisation, however this needs to be set in both ISCM and RMS, so will result in dual-keying",,,Manual recycling requires a business discussion on how this will work in WMS,
42,3. MOVE,3.1 Allocation & Replenishment,3.1.2 Analyse Sales & Stock,Pick Enquiry screen - Pick Invoices are by Location.,"Brand Logistics, SDM","Brand Logistics, SDM",HOM,DC,,"Picked & packed
Loaded onto vehicle
Shipped
Pick Enquiry - Pick Invoices will be by Pick Wave not by location.","Brand Logistics, SDM","Brand Logistics, SDM",HOM,DC,,1,0,0,,0,1,Pick Enquiry Screen  - Will now have visibility of all DCs (may be updated at different times) but will not be able to see picks by area location. AsIs – Pick Invoices are by Location. Tobe – Pick Invoices will be by Pick Wave not by location. Impact – Lo,,,,
42,3. MOVE,3.1 Allocation & Replenishment,3.1.2 Analyse Sales & Stock,Head office have Ability to review current pipeline to predict and drive allocation actions to effect wave volume. Head office have Ability to report on confirmed pick to audit allocation result.,,,,,,,,,,,,,,,,,,"Review DC Pick - For the Analysis of Sales and Stock - There will be two waves that are further split by Manhatten and therefore no expected change to HO allocation process to manage volumes. While the data is available, this will not be in real time and ",,,Decision on wave pattern to be determined within picking workshop.  This may be affected by the GRID,
42,3. MOVE,3.1 Allocation & Replenishment,3.1.2 Analyse Sales & Stock,"Head office have Ability to view DC stock in real time
Head office have Ability to identify stock adjustments actioned by the DC which will effect allocation
Head office have Ability to report on multilocated skus",,,,,,"Head office have Ability to view DC stock in real time - TBC
Head office have Ability to identify stock adjustments actioned by the DC which will effect allocation - TBC
Head office have Ability to report on multilocated skus - Not Available.",,,,,,,,,,,,Review DC Stock  - Head office will not be able to report on multilocated skus,,,"Need to confirm timings of ISCM stock updates
Need to confirm that stock adjustments can be seen.  This may be through new Dashboard reporting.
Dashboard reporting in WMS to be reviiewed",
